"Identification.id","Identification.Name","Identification.Year","Physical.Absolute Magnitude","Physical.Size.Minimum Estimated Diameter","Physical.Size.Maximum Estimated Diameter","Physical.Hazardous","Approach.Miss Distance","Approach.Relative Velocity","Orbital.Orbiting Body"
"54236574","(2022 AM5)","2022","23.48","0.0535247906","0.1196850702","True","48953898.83971497","80808.679254001","Earth"
"54413294","(2023 XW1)","2023","27.51","0.008366715","0.0187085435","True","43446816.4044944","49392.2878091759","Earth"
"2348306","348306 (2005 AY28)","2005","21.55","0.1301832102","0.2910985075","True","7935155.916376031","67602.0064870843","Earth"
"2612813","612813 (2004 RF84)","2004","18.38","0.5604733623","1.2532565376","True","52590211.859749705","56838.1846504882","Earth"
"2462238","462238 (2008 CN1)","2008","20.66","0.1961349444","0.4385710684","True","68807987.14037791","53881.9738915493","Earth"
"3465949","(2009 QN5)","2009","19.38","0.3536347843","0.7907514169","True","73369049.59639236","69422.968541695","Earth"
"3634154","(2013 GM3)","2013","26.3","0.0146067964","0.0326617897","True","51460619.07764448","65370.8063928856","Earth"
"2523623","523623 (2008 CB22)","2008","19.72","0.3023813326","0.6761452148","True","45664430.78508244","85405.8471481307","Earth"
"54016581","(2020 HF1)","2020","18.98","0.425162524","0.9506923052","True","71385021.17468758","137532.713112446","Earth"
"3516633","(2010 HA)","2010","23.9","0.04411182","0.0986370281","True","37192916.35955039","45258.0087234542","Earth"
"54338828","(2023 AE1)","2023","27.15","0.0098754064","0.02208208","True","48863489.441779405","53971.5293941867","Earth"
"2507355","507355 (2011 VV5)","2011","19.09","0.4041615334","0.9037326626","True","56146007.50636454","99806.4367903854","Earth"
"3836282","(2018 WR)","2018","26.2","0.0152951935","0.0342010925","True","32530255.31795391","46574.1203147363","Earth"
"3648203","(2013 RZ73)","2013","21.0","0.1677084622","0.3750075218","True","8425516.476378703","77762.4137325634","Earth"
"3607382","(2012 PS4)","2012","21.29","0.1467421834","0.3281254972","True","31803852.940594915","80870.168370812","Earth"
"3798998","(2018 CH)","2018","26.4","0.0139493823","0.0311917671","True","22884964.28965342","30430.2270102795","Earth"
"3674340","(2014 NF3)","2014","20.26","0.235806068","0.5272783976","True","51891373.39857096","55745.0176317012","Earth"
"54178636","(2021 PF2)","2021","24.36","0.0356906927","0.079806815","True","63838487.37368356","59954.3277944468","Earth"
"54099644","(2020 XC4)","2020","26.0","0.0167708462","0.0375007522","True","70432994.8110814","61792.0155815443","Earth"
"54016203","(2020 FL)","2020","24.81","0.0290104841","0.0648694146","True","72541882.14790365","68245.3016980376","Earth"
"2163899","163899 (2003 SD220)","2003","17.63","0.7916896669","1.7702719124","True","38158862.28136752","20950.9104045441","Earth"
"3614981","(2012 UU158)","2012","26.91","0.0110294785","0.0246626636","True","1614532.16961547","43116.712630254","Earth"
"3824107","(2018 JB3)","2018","17.66","0.7808272775","1.7459828712","True","47019626.83412985","77136.7934572142","Earth"
"3655732","(2013 YT102)","2013","25.0","0.02658","0.0594346868","True","31005899.412953403","51004.9575703822","Earth"
"3671119","(2014 JS54)","2014","21.21","0.152249185","0.3404395273","True","34143353.68174416","93199.6398747773","Earth"
"54322868","(2022 US21)","2022","21.83","0.1144339731","0.2558821427","True","48871128.07357927","63608.7525360473","Earth"
"3663955","(2014 EG45)","2014","21.9","0.1108038821","0.2477650126","True","31286073.94834056","82420.9449407636","Earth"
"3767248","(2017 BP31)","2017","19.84","0.2861244538","0.6397937287","True","25300118.88771014","89500.8537939996","Earth"
"54429348","(2024 EF)","2024","29.15","0.0039314701","0.0087910344","True","59212849.411346175","18671.4429415135","Earth"
